GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA,AHFS CLASS
atomoxetine,Strattera,Restricted to treatment of ADHD in pediatrics,CENTRAL NERVOUS SYSTEM AGENTS (MISC.)
atovaquone,Mepron,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,"ANTIPROTOZOALS, MISCELLANEOUS"
axitinib,Inlyta,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
azacitidine,Vidaza,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
basiliximab,Simulect,Restricted to indications outlined by BCTS OR leukemia/BMT patients with steroid-refractory acute graft versus host disease (GVHD),IMMUNOSUPPRESSIVE AGENTS
beclomethasone,Qvar,Restricted to HIV / AIDS patients with highly active anti-retroviral therapy (HAART),ANTI-INFLAMMATORY AGENTS (EENT)
bendamustine,Treanda,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
bevacizumab,Avastin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
bicalutamide,Casodex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
bifidobacterium bifidum+bifidobacterium breve+bifidobacterium infantis+bifidobacterium longum+lactobacillus rhamnosus,FloraBaby,Restricted to Pediatrics (neonates) for the prevention of necrotizing enterocolitis,ANTIDIARRHEA AGENTS
bivalirudin,Angiomax,Restricted to use in patients with unstable angina undergoing percutaneous coronary interventions (PCI),ANTICOAGULANTS
bleomycin,Blenoxane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR as a sclerosing agent for vascular malformations or cystic lesions OR malignant pleural effusions.,ANTINEOPLASTIC AGENTS
bortezomib,Velcade,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
bosentan,Tracleer,Restricted to treatment of pulmonary arterial hypertension (PAH),"VASODILATING AGENTS, MISCELLANEOUS"
botulinum toxin type A,Botox,Restricted to spasticity OR esophageal sphincter disorders causing dysphagia OR strabismus,OTHER MISCELLANEOUS THERAPEUTIC AGENTS
buprenorphine+naloxone,Suboxone,Restricted to physicians with a methadone exemption for opioid dependence when methadone is contraindicated or where there is an inadequate response or intolerance to methadone,OPIATE PARTIAL AGONIST ANALGESIC
buserelin,Suprefact,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
buserelin (depot),Suprefact Depot,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
busulfan,Myleran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
cabazitaxel,Jetvana,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
cabergoline,Dostinex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR for prolactin suppression,ERGOT-DERIVATIVE DOPAMINE RECEPTOR AGONISTS
cannabidiol+delta-9-tetrahydrocannabinol,Sativex,Restricted to complex/chronic pain or palliative care patients,MISCELLANEOUS THERAPEUTIC AGENTS
capecitabine,Xeloda,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
carbetocin,Duratocin,Restricted to prevention of uterine atony and post-partum hemorrhage following elective caesarean section in women with one or more risk factors for post-partum hemorrhage and may be considered for urgent or emergent caesarean section,OXYTOCICS
carboplatin,Paraplatin AQ,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
carmustine,BiCNU,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
caspofungin,Cancidas,Restricted to pediatric patients with fungal infections that are known or suspected to be resistant to fluconazole OR in pediatric patients intolerant to fluconazole,ECHINOCANDIN ANTIFUNGALS
cefepime,Maxipime,Restricted for use as monotherapy in patients with chemotherapy-induced febrile neutropenia OR in patients with cystic fibrosis,CEPHALOSPORINS
cefoxitin,Mefoxin,Restricted to gynecological/obstetrical infections OR neonates/pediatrics OR infections due to Mycobacterium abscessus,CEPHALOSPORINS
cetirizine,Reactine,Restricted to pediatrics (ADULT orders interchanged to loratidine),SECOND GENERATION ANTIHISTAMINES
cetuximab,Erbitux,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
chlorambucil,Leukeran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
ciclesonide,"Alvesco, Omnaris",Restricted to patients 6-18 years old OR HIV/AIDS patients with HAART (highly active anti-retroviral therapy),"RESPIRATORY TRACT AGENTS, MISCELLANOUS"
cinacalcet,Sensipar,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA,MISCELLANEOUS THERAPEUTIC AGENTS
cisplatin,"Platinol, Platinol A-Q",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
cladribine,Leustatin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
clodronate,"Bonefos, Ostac",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,BONE RESORPTION INHIBITORS
cobicistat+emtricitabine+elvitegravir+tenofovir,Stribild,ANTIRETROVIRALS,ANTIRETROVIRALS
colistimethate (colistin),Coly-Mycin,Restricted to treatment of pneumonia in cystic fibrosis patients,"ANTIBACTERIALS, MISCELLANEOUS"
collagenase,Santyl,Restricted to debridement of dermal ulcers,MISC. SKIN AND MUCOUS MEMBRANE AGENTS
crizotinib,Xalkori,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
cyproterone,Androcur,Restricted to forensic patients,ANTINEOPLASTIC AGENTS
cytarabine,Cytosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
dabigatran,Pradax,Restricted to continuity of care for patients receiving dabigatran prior to admission,ANTICOAGULANTS
dabrafenib,Tafinlar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
dacarbazine,DTIC,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
dactinomycin,Cosmegen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
danaparoid,Orgaran,Restricted for prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT),ANTICOAGULANTS
daptomycin,Cubicin,Restricted to infections caused by gram positive organisms that are resistant to vancomycin and linezolid OR in patients intolerant to vancomycin and linezolid.,"ANTIBACTERIALS, MISCELLANEOUS"
darbepoetin,Aranesp,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA,HEMATOPOIETIC AGENTS
darunavir,Prezista,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
darunavir + cobicistat,Prezcobix,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
dasatinib,Sprycel,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
daunorubicin,Cerubidine,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
degarelix,Firmagon,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
delaviridine,Rescriptor,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
dexmedetomidine,Precedex,"Restricted to use in Intensive Care Unit, Cardiac Surgery Intensive Care Unit and High Acuity Unit for patients with the following criteria:","ANXIOLYTICS, SEDATIVES & HYPNOTICS"
,,Post-operative cardiovascular/vascular surgery patients requiring mechanical ventilation OR,
,,"Patients who are being mechanically ventilated with confirmed delirium, and who are refractory, or have had an inadequate response, to a trial of propofol and/or antipsychotic agent OR",
,,Patients in whom extubation is anticipated within 24-hours (i.e. approximate duration of dexmedetomidine use limited to 24 hours) OR,
,,Sedation for invasive procedures or awake fibre-optic intubation in critical care patients for whom other agents are not appropriate due to lack of efficacy or adverse effects,
dexrazoxane,"Zinecard, Cardioxane",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
didanosine,Videx-EC,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
digoxin immune fab,Digibind,Restricted to use approved by BC Drug and Poison Information Center (DPIC) (part of BC Poison Control Antidote Replacement Programme),SERUMS
docetaxel,Taxotere,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
dolutegravir,Tivicay,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
donepezil,Aricept,PharmaCare Alzheimer's Drug Therapy Initiative (ADTI) approval is required for new starts in Acute and Residential Care OR continuation of treatment in Residential Care.  UNRESTRICTED for continuation of prior to admission therapy in Acute Care.,PARASYMPATHOMIMETIC (CHOLINERGIC) AGENTS
doxorubicin,Adriamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
doxorubicin pegylated liposomal,Caelyx,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
efavirenz,Sustiva,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
efavirenz+emtricitabine+tenofovir,Atripla,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
emtricitabine + rilpivirine + tenofovir,Complera,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
emtricitabine+tenofovir,Truvada,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
enalapril,Vasotec,Restricted to pediatrics,ANGIOTENSIN-CONVERTING ENZYME INHIBITORS
enfuvirtide,Fuzeon,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
enoxaparin,Lovenox,Restricted to major orthopedic trauma OR spinal cord injury OR acute coronary syndrome (ACS) OR cancer patients OR pediatrics.,ANTICOAGULANTS
entecavir,Baraclude,Restricted to indications outlined by BCTS,NUCLEOSIDE & NUCLEOTIDE ANTIVIRALS
enzalutamide,Xtandi,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
epirubicin,Pharmorubicin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
epoetin alfa,Eprex,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA OR to patients pre-approved by BCTS (for cost reimbursement),HEMATOPOIETIC AGENTS
epoprostenol,Flolan,"Restricted to treatment of pulmonary arterial hypertension (PAH), in patients who have had an inadequate response and/or a contraindication to the non-prostanoid therapies OR aerosolized epoprostenol for hypoxemia secondary to acute respiratory distress syndrome (ARDS) ","VASODILATING AGENTS, MISCELLANEOUS"
eribulin,Halaven,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
erlotinib,Tarceva,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
ertapenem,Invanz,"Restricted to treatment of documented or suspected infections, involving multi-drug resistant organisms in outpatient or ambulatory setting, where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime, imipenem) cannot be used due to intolerance, resistance or inconvenience in the ambulatory setting.",MISC. BETA-LACTAM ANTIBIOTICS
esomeprazole,Nexium,Restricted to NG use or dysphagia patients,PROTON-PUMP INHIBITORS
estramustine,"Emcyt, Estracyt",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
etidronate+calcium,Didrocal,Restricted to residential care,BONE RESORPTION INHIBITORS
etoposide,Vepesid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
etravirine,Intelence,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
everolimus,Afinitor,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
exemestane,Aromasin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
ferumoxytol,Feraheme,Restricted to the following indications:,IRON PREPARATIONS
,,1. BCPRA Registered chronic kidney disease patients who are not on dialysis and intolerant to or inadequately treated with oral iron,
,,2. Patients who are dialyzing at home:,
,,o Peritoneal dialysis patient inadequately treated with oral iron,
,,o Home hemodialysis patient inadequately treated with oral iron and are not self administering intravenous iron,
filgrastim,Neupogen,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR to approval of the Centre for Excellence (CFE) in HIV/AIDS OR Cell Separator Unit donors,HEMATOPOIETIC AGENTS
fludarabine,Fludara,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
fluorouracil,"5-FU, Efudex",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,MISC. SKIN AND MUCOUS MEMBRANE AGENTS
flutamide,Euflex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
fluvastatin,Lescol,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy),HMG-CoA REDUCTASE INHIBITORS
fomepizole,Antizol,Restricted to use approved by BC Drug and Poison Information Center (DPIC) (part of BC Poison Control Antidote Replacement Programme),ANTIDOTES
fondaparinux,Arixtra,Restricted to unstable angina (UA) OR non-ST elevation myocardial infarction (NSTEMI) OR medically managed patients with ST elevation myocardial infarction (STEMI) [not treated with percutaneous coronary intervention (PCI) or thrombolysis] OR prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT),ANTICOAGULANTS
fosamprenavir,Telzir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
fosaprepitant,Emend IV,Restricted to BCCA protocols for prevention of nausea and vomiting in patients receiving highly emetogenic chemotherapy who are unable to swallow oral tablets,"ANTIEMETICS, MISCELLANEOUS"
fosfomycin,Monurol,Restricted to treatment of acute uncomplicated cystitis caused by susceptible organisms with demonstrated resistance and/or intolerance to all other oral agents,URINARY ANTI-INFECTIVES
fosphenytoin,Cerebyx,Restricted to pediatrics,HYDANTOIN ANTICONVULSANTS
galantamine,Reminyl,PharmaCare Alzheimer's Drug Therapy Initiative (ADTI) approval is required for new starts in Acute and Residential Care OR continuation of treatment in Residential Care.  UNRESTRICTED for continuation of prior to admission therapy in Acute Care.,CENTRAL NERVOUS SYSTEM AGENTS (MISC.)
ganciclovir,Cytovene,"Restricted to use in HIV/AIDS, transplant, hematology, oncology, ophthalmology patients, or for congenital cytomegalovirus",NUCLEOSIDE & NUCLEOTIDE ANTIVIRALS
gefitinib,Iressa,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
gemcitabine,Gemzar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
goserelin,Zoladex LA,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,GONADOTROPINS
ibrutinib,Imbruvica,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
idarubicin,Idamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
ifosfamide,Ifex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
imatinib,Gleevec,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
imipenem+cilastatin,Primaxin,"Restricted to treatment of documented or suspected infections involving multi-drug resistant organisms where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime) cannot be used due to intolerance or resistance",MISC. BETA-LACTAM ANTIBIOTICS
indinavir,Crixivan,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
insulin detemir,Levemir,Restricted to pediatric patients with diabetes mellitus,INSULINS
interferon alfa (compounded from IV),,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,INTERFERONS
interferon alfa-2b,Intron-A,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,INTERFERONS
ipilimumab,Yervoy,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
irinotecan,Camptosar,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
isotretinoin,Accutane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,MISC. SKIN AND MUCOUS MEMBRANE AGENTS
lacosamide,Vimpat,Restricted to the following criteria:,"ANTICONVULSANTS, MISCELLANEOUS"
,,Adjunctive therapy for medically refractory partial-onset epilepsy,
,,"Adjunctive therapy for refractory status epilepticus where other suitable anti-epileptic agents (such as phenytoin, midazolam, phenobarbital, levetiracetam) have been ineffective, not tolerated or not appropriate.",
,,Continuity of care for patients receiving lacosamide for epilepsy prior to admission.,
,,Lacosamide IV is restricted to patients unable to take lacosamide PO,
lactobacillus rhamnosus GG,Culturelle,Restricted to the treatment and prevention of antibiotic-associated diarrhea (not clostridium difficile),ANTIDIARRHEA AGENTS
lamivudine,3TC,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS OR hepatitis B prophylaxis in patients with a proven-negative HIV test who are immunocompromized (solid organ transplant (SOT) or bone marrow transplant (BMT) or chemotherapy) OR treatment in those with liver failure due to Hepatitis B.,ANTIRETROVIRALS
lamivudine+zidovudine,Combivir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
lanreotide acetate,Somatuline,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,OTHER MISCELLANEOUS THERAPEUTIC AGENTS
lansoprazole,"Prevacid, Fastabs",Restricted to pediatrics,PROTON-PUMP INHIBITORS
lanthanum carbonate,Fosrenol,Restricted to indications outlined by BCPRA AND patients who are registered with BCPRA,PHOSPHATE-REMOVING AGENTS
lapatinib,Tykerb,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
lenalidomide,Revlimid,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,BIOLOGIC RESPONSE MODIFIERS
letrozole,Femara,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
leucovorin PO,Lederle Leucovorin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTIDOTES
leuprolide,Lupron,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
leuprolide (depot),"Eligard, Lupron Depot",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
levocarnitine,Carnitor,Restricted to metabolic disorders,"CALORIC AGENTS, PARENTERAL NUTRITION"
levofloxacin,Levaquin,Restricted to pediatrics for the empiric treatment of low-risk fever and neutropenia,QUINOLONE ANTIBIOTICS
linagliptin,Trajenta,Restricted to combination treatment for type 2 diabetes mellitus when insulin NPH is not an option AND after inadequate glycemic control on maximum tolerated doses of metformin AND a sulfonylurea,DIPEPTIDYL PEPTIDASE-4 (DPP-4) INHIBITOR
linezolid,Zyvox,Restricted to infections caused by gram positive organisms that are resistant to vancomycin or in patients intolerant to vancomycin.,"ANTIBACTERIALS, MISCELLANEOUS"
lomustine,CeeNU,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
lopinavir+ritonavir,Kaletra,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
lovastatin,Mevacor,Restricted to HIV/AIDS patients with HAART (highly active anti-retroviral therapy),HMG-CoA REDUCTASE INHIBITORS
magnesium hydroxide+mineral oil,Magnolax,Restricted to patients with eating disorder,CATHARTICS AND LAXATIVES
,,(Automatic Therapeutic Interchange to magnesium hydroxide suspension at same dose and frequency in other patients),
maraviroc,Celsentri,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS,ANTIRETROVIRALS
melphalan,Alkeran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
meperidine,Demerol,Restricted to treatment of drug- or blood product-induced rigors and post-operative shivering,OPIATE AGONIST ANALGESICS
meropenem,Merrem,"Treatment of documented or suspected infections involving multi-drug resistant organisms where other agents (e.g. piperacillin-tazobactam, ticarcillin-clavulanate, ceftazidime, imipenem) cannot be used due to intolerance or resistance",MISC. BETA-LACTAM ANTIBIOTICS
,,OR,
,,"For the following indications/populations: CNS infections, cystic fibrosis, pediatric patients, febrile neutropenia",
methadone,Metadol,Restricted to physicians with a full or temporary methadone exemption for opioid dependence or for analgesia (as per Section 56 of the Controlled Drugs and Substances Act),OPIATE AGONIST ANALGESICS
methyl aminolevulinate,Metvix,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,SKIN AND MUCOUS MEMBRANE AGENTS
methylnaltrexone,Relistor,Restricted to patients with opioid-induced constipation where conventional laxative treatments have failed or are not appropriate for patient circumstances,"GI DRUGS, MISCELLANEOUS"
micafungin,Mycamine,Restricted to fungal infections that are known or suspected to be resistant to fluconazole OR in patients intolerant to fluconazole,ECHINOCANDIN ANTIFUNGALS
mitomycin,Mutamycin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR ophthalmic surgical procedures,ANTINEOPLASTIC AGENTS
mitotane,Lysodren,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA,ANTINEOPLASTIC AGENTS
